,CustomerID,Region,TownSize,Gender,Age,JobCategory,UnionMember,EmploymentLength,Retired,LoanDefault,MaritalStatus,HouseholdSize,HomeOwner,CarsOwned,CarOwnership,CarValue,CommuteTime,PoliticalPartyMem,Votes,CreditCard,CardTenure,CardItemsMonthly,CardSpendMonth,ActiveLifestyle,PhoneCoTenure,VoiceLastMonth,VoiceOverTenure,EquipmentRental,EquipmentLastMonth,EquipmentOverTenure,CallingCard,WirelessData,DataLastMonth,DataOverTenure,Multiline,VM,Pager,Internet,CallerID,CallWait,CallForward,ThreeWayCalling,EBilling,TVWatchingHours,OwnsPC,OwnsMobileDevice,OwnsGameSystem,OwnsFax,NewsSubscriber,HouseholdIncome,Education,InHeavyDebt,HasPets,TotalOverTenure,EquipmentOverTeunre,AvgPhoneBill
21,9937-SFPLRK-H9Y,2,4.0,Male,70,Sales,Yes,2,No,No,Married,2,0.0,5,Own,15700.0,29,Yes,Yes,AMEX,26,8,2677.1,Yes,59,42.75,805.8,No,0,0.0,Yes,No,0.0,0.0,Yes,No,Yes,3,No,Yes,No,Yes,No,21,Yes,No,Yes,No,No,20 to 39,2,0,1,1611.6,0,13.657627118644067
22,0712-WQXYVV-HUP,4,1.0,Male,61,Labor,No,18,Yes,No,Unmarried,1,1.0,3,Own,5800.0,25,Yes,No,AMEX,24,10,2450.3,No,61,25.049999999999997,476.95,Yes,1,1790.8,Yes,No,0.0,0.0,No,No,No,3,No,Yes,No,No,No,13,Yes,No,Yes,No,No,0 to 20,1,1,0,2744.7,1,7.8188524590163935
23,6441-FJUWZQ-7G8,3,4.0,Male,37,Professional,Yes,2,No,Yes,Unmarried,1,0.0,0,-1,,29,No,No,Othe,12,17,5566.1,Yes,39,39.3,504.45,Yes,1,1663.95,Yes,Yes,31.5,1199.2,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,21,Yes,Yes,Yes,No,Yes,20 to 39,0,1,0,2672.85,1,12.934615384615384
24,7634-AVNEXZ-7AG,1,3.0,Male,39,Professional,No,5,No,No,Married,4,1.0,2,Own,49200.0,32,Yes,Yes,Disc,2,12,4537.4,No,6,4.5,11.15,No,0,0.0,Yes,No,0.0,0.0,No,No,No,Yes,Yes,No,Yes,Yes,No,32,Yes,Yes,No,No,No,80 to 200,1,0,1,22.3,0,1.8583333333333334
25,2041-PNMGHX-TXJ,4,3.0,Female,73,Service,No,28,Yes,No,Married,2,0.0,1,Own,22800.0,27,No,No,Visa,32,6,2126.7,No,62,76.35,1565.6,Yes,1,2874.15,Yes,Yes,53.2,3245.6,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,40 to 79,1,0,0,6005.35,1,25.251612903225805
26,4626-BQZAUJ-V9K,5,4.0,Female,26,Sales,No,0,No,Yes,Married,6,0.0,4,Lease,9800.0,27,Yes,No,Disc,8,14,4476.7,Yes,26,17.4,149.4,Yes,1,728.55,Yes,No,0.0,0.0,Yes,No,No,4,No,No,No,No,Yes,17,Yes,Yes,Yes,Yes,No,20 to 39,1,0,1,1027.35,1,5.746153846153846
27,2969-ODPCDX-5DC,2,1.0,Female,24,Labor,No,1,No,Yes,Unmarried,1,1.0,0,-1,,14,No,Yes,Disc,5,11,2799.5,Yes,11,11.850000000000001,42.4,Yes,1,172.75,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,13,No,Yes,Yes,No,No,20 to 39,2,0,1,257.55,1,3.8545454545454545
28,4974-FUBHDF-Z7L,3,1.0,Female,77,Professional,No,26,Yes,No,Unmarried,1,1.0,2,Own,3100.0,21,Yes,No,Visa,39,10,1949.5,Yes,72,268.35,6495.7,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,Yes,Yes,No,No,No,23,No,No,No,No,Yes,0 to 20,1,0,1,12991.4,0,90.21805555555555
29,2525-OSULNV-0KS,5,3.0,Male,36,Professional,Yes,3,No,No,Unmarried,1,1.0,3,Own,13100.0,24,Yes,Yes,AMEX,10,11,3009.7000000000003,No,37,20.1,233.85,No,0,0.0,No,No,0.0,0.0,No,No,No,2,No,No,No,No,No,15,Yes,Yes,Yes,No,No,20 to 39,2,1,1,467.7,0,6.32027027027027
30,4973-FHPBZQ-AAA,3,5.0,Male,55,Service,No,23,No,No,Unmarried,1,1.0,4,Own,35000.0,25,No,No,Visa,21,11,3940.2,No,47,36.75,524.4,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,No,No,Yes,Yes,No,25,Yes,No,Yes,No,Yes,80 to 200,1,0,1,1048.8,0,11.157446808510638
31,4726-RQKGNB-WAK,2,2.0,Female,60,Professional,No,13,No,No,Married,2,0.0,2,Own,25200.0,26,Yes,No,Disc,38,9,1124.7,Yes,71,109.05000000000001,2586.85,Yes,1,4064.25,Yes,Yes,55.8,3819.5,Yes,Yes,Yes,4,No,No,Yes,No,Yes,20,Yes,Yes,Yes,Yes,Yes,40 to 79,2,0,1,9237.95,1,36.43450704225352
32,6592-QBSENI-6Y4,1,1.0,Female,59,Sales,Yes,4,No,No,Married,4,0.0,0,-1,,15,Yes,No,Visa,2,11,3421.7000000000003,No,3,16.5,19.35,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,No,20 to 39,0,0,1,38.7,0,6.45
33,5538-DRGHIE-PF0,1,1.0,Male,28,Unknown,Yes,1,No,Yes,Married,6,0.0,3,Own,8200.0,23,Yes,Yes,Mast,7,10,3811.3999999999996,Yes,16,23.549999999999997,116.3,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,Yes,No,No,30,No,No,Yes,No,No,0 to 20,0,0,1,232.6,0,7.26875
34,3550-PQUPPM-42T,3,3.0,Male,53,Sales,No,11,No,No,Married,3,1.0,0,-1,,23,Yes,Yes,Disc,13,11,4459.0,No,36,10.2,122.0,Yes,1,1693.6,Yes,Yes,61.25,2209.2,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,10,Yes,Yes,Yes,Yes,No,80 to 200,2,0,1,1937.6,1,3.388888888888889
35,9809-NBCXAS-1RB,4,5.0,Male,36,Sales,No,5,No,Yes,Unmarried,2,0.0,3,Own,21200.0,26,Yes,Yes,Disc,13,13,4611.5,No,38,20.25,244.7,Yes,1,1123.6,No,No,0.0,0.0,Yes,No,No,3,No,No,No,No,Yes,29,Yes,Yes,Yes,No,No,40 to 79,1,0,1,1613.0,1,6.439473684210526
36,8733-EDAXNE-8DV,3,1.0,Male,47,Crafts,No,17,No,No,Married,2,1.0,1,Own,78100.0,21,No,Yes,AMEX,29,8,4161.2,No,69,66.15,1473.3,Yes,1,2973.0,Yes,Yes,36.45,2475.25,Yes,Yes,Yes,3,No,Yes,No,No,Yes,22,Yes,Yes,Yes,No,Yes,80 to 200,2,0,1,5919.6,1,21.352173913043476
37,8170-YHWTSQ-825,5,2.0,Male,75,Sales,No,2,Yes,No,Unmarried,1,0.0,1,Own,4900.0,24,No,No,Disc,23,17,1972.7,No,46,59.400000000000006,884.75,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,Yes,No,No,No,Yes,0 to 20,0,0,1,1769.5,0,19.233695652173914
38,1144-GVCZDP-8DV,2,3.0,Female,49,Professional,Yes,3,No,No,Married,5,1.0,1,Own,33900.0,19,No,Yes,Disc,13,4,782.2,Yes,31,21.0,238.0,Yes,1,1740.25,No,Yes,62.3,1879.25,Yes,Yes,Yes,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No,40 to 79,2,0,1,2216.25,1,7.67741935483871
39,8846-JJEGFU-I69,1,1.0,Female,59,Professional,No,15,No,No,Unmarried,1,0.0,1,Own,36200.0,16,Yes,No,Disc,13,9,2835.8999999999996,No,41,39.0,479.0,No,0,0.0,Yes,Yes,19.35,764.35,No,No,No,2,Yes,Yes,Yes,Yes,No,13,Yes,Yes,Yes,Yes,No,40 to 79,1,0,0,958.0,0,11.682926829268293
40,4226-TEHKPJ-GKG,1,2.0,Female,55,Service,No,10,No,No,Married,3,1.0,2,Own,31800.0,21,Yes,No,AMEX,22,11,5011.1,No,49,27.900000000000002,465.5,No,0,0.0,Yes,No,0.0,0.0,No,Yes,No,No,Yes,Yes,Yes,Yes,No,29,No,No,No,No,Yes,40 to 79,1,0,0,931.0,0,9.5
41,9714-LCYJJB-SCS,5,2.0,Male,25,Professional,No,1,No,Yes,Unmarried,5,0.0,0,-1,,15,No,Yes,Disc,7,11,3919.7000000000003,Yes,46,43.349999999999994,659.35,Yes,1,1319.5,Yes,No,0.0,0.0,Yes,Yes,No,2,No,No,No,No,No,22,Yes,No,Yes,No,Yes,40 to 79,1,0,1,2638.2,1,14.333695652173914
42,2866-TTOTKL-TA7,5,4.0,Male,78,Service,No,30,Yes,No,Married,2,0.0,2,Own,15800.0,34,No,Yes,Visa,14,5,1637.2,No,31,15.0,133.35,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,No,No,No,No,No,20,No,No,No,No,Yes,20 to 39,0,0,1,266.7,0,4.301612903225807
43,7217-UECHSF-PCR,1,1.0,Female,48,Sales,No,2,No,Yes,Unmarried,2,1.0,2,Own,9300.0,23,No,No,Othe,11,11,2680.8999999999996,Yes,23,19.5,169.8,No,0,0.0,Yes,Yes,19.7,387.9,No,No,No,Yes,Yes,Yes,Yes,Yes,No,28,Yes,No,No,No,No,20 to 39,0,1,1,339.6,0,7.382608695652174
44,0197-AMEAYR-851,5,1.0,Male,47,Sales,No,1,No,No,Married,2,0.0,1,Own,46100.0,22,No,Yes,AMEX,15,14,3336.8,No,21,18.450000000000003,141.25,Yes,1,516.3,Yes,No,0.0,0.0,No,No,No,No,No,No,No,No,Yes,19,Yes,Yes,No,No,No,40 to 79,2,0,1,798.8,1,6.726190476190476
45,1743-WAHPKT-DNW,5,1.0,Male,75,Sales,No,11,No,No,Married,2,1.0,1,Own,13800.0,20,Yes,No,AMEX,3,10,4535.2,No,16,12.899999999999999,75.0,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,Yes,No,No,No,12,No,No,No,No,No,20 to 39,0,0,0,150.0,0,4.6875
46,9840-VEWFQZ-W5V,3,1.0,Female,43,Sales,No,4,No,No,Married,2,1.0,1,Own,17200.0,22,Yes,Yes,Disc,9,14,2724.4,Yes,27,19.950000000000003,201.55,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,18,No,No,Yes,No,No,20 to 39,2,0,1,403.1,0,7.464814814814815
47,6203-JLXPIJ-YQZ,5,5.0,Male,45,Labor,No,15,No,No,Married,5,1.0,1,Own,30900.0,39,Yes,No,Mast,27,9,2837.2000000000003,Yes,62,48.449999999999996,1016.85,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,No,No,No,No,No,13,No,No,No,No,No,40 to 79,0,0,1,2033.7,0,16.400806451612905
48,4166-WEDNXN-5RK,5,4.0,Male,21,Service,No,0,No,Yes,Unmarried,1,0.0,2,Own,16000.0,25,No,Yes,Disc,3,9,1965.6,Yes,13,14.25,47.55,No,0,0.0,No,No,0.0,0.0,No,No,No,Yes,No,No,No,No,No,17,Yes,No,Yes,No,No,20 to 39,1,0,1,95.1,0,3.6576923076923076
49,4643-WSLHBV-DM5,2,1.0,Male,53,Service,No,19,No,Yes,Unmarried,1,1.0,2,Own,92400.0,29,Yes,Yes,Disc,30,12,10103.4,No,48,40.05,661.55,No,0,0.0,Yes,Yes,57.05,2716.6,Yes,Yes,Yes,3,Yes,Yes,Yes,Yes,Yes,13,Yes,Yes,Yes,Yes,Yes,above 200,2,0,1,1323.1,0,13.782291666666666
50,1441-JNZRPW-8KQ,3,3.0,Female,30,Labor,No,8,No,No,Unmarried,1,1.0,3,Own,28800.0,34,No,Yes,Visa,2,12,2215.6,No,3,12.149999999999999,11.15,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,Yes,18,No,Yes,Yes,No,No,40 to 79,1,0,1,22.3,0,3.716666666666667
51,5811-BKUTYY-F7I,2,1.0,Female,58,Labor,No,18,Yes,No,Unmarried,1,0.0,1,Own,9200.0,20,No,Yes,Mast,19,4,650.8,No,42,49.650000000000006,710.95,No,0,0.0,Yes,No,0.0,0.0,No,No,No,2,No,Yes,No,Yes,No,16,Yes,Yes,No,No,No,0 to 20,2,0,1,1421.9,0,16.927380952380954
52,0926-OZQUQX-GXA,2,2.0,Male,35,Professional,Yes,5,No,Yes,Married,4,1.0,1,Own,11400.0,24,No,No,Disc,17,12,1921.9,Yes,48,38.7,555.75,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,No,No,Yes,No,No,26,Yes,No,No,No,Yes,0 to 20,0,0,1,1111.5,0,11.578125
53,5007-HXEVVL-NW5,3,2.0,Female,48,Professional,No,14,No,No,Married,2,1.0,1,Own,36000.0,26,Yes,No,Disc,12,8,2204.6,Yes,37,16.799999999999997,221.2,Yes,1,1886.7,Yes,Yes,50.0,1710.15,Yes,Yes,Yes,4,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,Yes,No,80 to 200,1,0,1,2329.1,1,5.978378378378378
54,8101-YOBRYX-REF,3,3.0,Female,57,Unknown,No,8,No,Yes,Unmarried,1,1.0,4,Own,53200.0,18,No,No,Mast,9,12,3718.1,Yes,18,17.25,107.95,No,0,0.0,No,Yes,21.0,351.7,No,Yes,No,2,Yes,No,No,Yes,No,12,Yes,Yes,Yes,No,No,80 to 200,1,1,0,215.9,0,5.997222222222223
55,8267-UTARFV-TZK,4,1.0,Female,61,Service,No,11,No,No,Married,4,1.0,0,-1,,23,No,Yes,AMEX,12,10,4158.0,Yes,30,16.799999999999997,174.05,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,No,Yes,Yes,Yes,Yes,18,No,Yes,No,No,No,40 to 79,2,0,1,348.1,0,5.801666666666667
56,4432-KMTQXO-788,5,4.0,Female,56,Professional,No,6,No,No,Married,2,0.0,5,Own,67800.0,19,No,Yes,Disc,35,10,6938.0,Yes,66,66.15,1442.05,Yes,1,3054.8,Yes,Yes,60.5,4054.25,Yes,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,14,Yes,Yes,Yes,Yes,Yes,80 to 200,2,0,0,5938.900000000001,1,21.849242424242423
57,9172-WITHKP-BXZ,2,1.0,Female,29,Sales,No,1,No,No,Married,2,0.0,3,Lease,16800.0,20,No,Yes,Mast,11,15,3630.0,Yes,57,51.150000000000006,934.0,No,0,0.0,Yes,Yes,43.15,2437.2,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,22,Yes,Yes,Yes,No,Yes,20 to 39,2,0,0,1868.0,0,16.385964912280702
58,1114-UELZXT-QT7,4,1.0,Female,68,Agriculture,No,36,Yes,No,Married,2,0.0,2,Own,13900.0,19,Yes,No,AMEX,30,4,1455.9,No,64,53.099999999999994,1114.0,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,Yes,Yes,Yes,Yes,No,21,No,No,No,Yes,Yes,20 to 39,0,0,0,2228.0,0,17.40625
59,0992-DNDKIT-CUP,5,3.0,Male,22,Labor,No,0,No,Yes,Married,4,0.0,0,-1,,19,Yes,Yes,Disc,4,16,4823.0,Yes,29,21.6,220.9,Yes,1,559.85,No,No,0.0,0.0,No,No,No,4,No,No,No,No,Yes,18,Yes,Yes,Yes,No,No,20 to 39,1,0,1,1001.65,1,7.617241379310345
60,2654-JRLXAI-HC7,2,1.0,Female,46,Professional,No,5,No,No,Unmarried,1,0.0,2,Own,13400.0,26,Yes,Yes,Visa,16,7,1389.5,No,31,27.599999999999998,322.5,No,0,0.0,No,No,0.0,0.0,No,No,No,No,Yes,No,Yes,No,No,20,No,No,No,No,Yes,20 to 39,0,0,1,645.0,0,10.403225806451612
61,0405-BACHZT-AYK,4,1.0,Male,24,Professional,No,0,No,No,Married,3,1.0,2,Own,16800.0,30,No,No,Disc,6,12,1885.2,No,5,17.85,38.25,Yes,1,163.4,No,Yes,25.4,89.6,No,Yes,No,4,No,No,No,No,Yes,22,Yes,Yes,Yes,Yes,No,20 to 39,2,0,1,239.9,1,7.65
62,4939-KCMADL-HLM,3,2.0,Female,78,Sales,No,18,Yes,No,Married,2,0.0,1,Lease,14800.0,22,No,No,Visa,19,11,1762.0,No,39,20.25,234.75,No,0,0.0,Yes,Yes,32.2,1224.05,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,20,Yes,No,No,Yes,No,20 to 39,1,1,1,469.5,0,6.019230769230769
63,4724-UVMKNV-Z1I,2,2.0,Male,73,Professional,No,31,Yes,No,Married,4,0.0,2,Lease,7000.0,19,No,No,AMEX,33,11,3037.3,No,66,57.300000000000004,1231.75,No,0,0.0,Yes,No,0.0,0.0,No,No,No,No,No,No,No,No,No,33,No,No,No,No,Yes,0 to 20,0,0,1,2463.5,0,18.66287878787879
64,4231-HZEXGK-HRI,4,3.0,Female,26,Professional,No,0,No,Yes,Unmarried,1,0.0,2,Own,27300.0,33,Yes,No,Disc,3,14,4107.799999999999,Yes,8,6.1499999999999995,15.45,No,0,0.0,No,No,0.0,0.0,No,No,No,Yes,No,No,No,No,No,19,Yes,No,No,No,No,40 to 79,2,0,1,30.9,0,1.93125
65,4979-WSWKYV-BSV,2,1.0,Female,44,Service,No,7,No,No,Unmarried,1,0.0,3,Own,13500.0,21,No,Yes,AMEX,21,9,4204.8,No,52,36.75,629.55,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,No,No,No,Yes,No,24,Yes,No,No,No,No,20 to 39,1,0,1,1259.1,0,12.106730769230769
66,7245-IUATZR-VLV,5,1.0,Male,30,Sales,No,1,No,No,Married,4,0.0,5,Own,10200.0,21,No,Yes,Visa,12,10,2635.5,Yes,27,9.600000000000001,86.3,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,21,No,No,No,No,Yes,0 to 20,1,0,0,172.6,0,3.196296296296296
67,2041-WAUPOH-84L,1,4.0,Male,44,Sales,No,9,No,No,Unmarried,1,0.0,2,Own,16400.0,32,No,Yes,Visa,9,10,3211.9,No,14,17.1,75.95,No,0,0.0,No,No,0.0,0.0,No,No,No,No,No,No,No,No,No,20,Yes,No,Yes,No,No,40 to 79,0,0,0,151.9,0,5.425
68,5472-GUGMBS-ZVK,3,2.0,Female,21,Service,Yes,1,No,Yes,Married,2,1.0,3,Own,11500.0,29,No,Yes,Othe,3,16,4610.299999999999,Yes,6,13.649999999999999,26.35,No,0,0.0,No,No,0.0,0.0,Yes,No,No,No,No,No,No,Yes,No,17,Yes,No,No,No,No,20 to 39,1,0,0,52.7,0,4.391666666666667
69,1811-FUILIP-L3S,3,1.0,Female,62,Crafts,Yes,31,Yes,No,Married,2,1.0,3,Lease,5100.0,18,No,No,Visa,37,7,797.5,No,70,125.25,2817.05,No,0,0.0,Yes,No,0.0,0.0,Yes,No,No,No,Yes,No,Yes,Yes,No,16,No,No,No,No,Yes,0 to 20,0,0,1,5634.1,0,40.24357142857143
